amount,evidence_completeness,won,festival_season,month_sin,month_cos,day_of_week_sin,day_of_week_cos,reason_credit_not_processed,reason_duplicate_processing,reason_fraudulent,reason_processed_invalid_expired_card,reason_product_not_received,reason_product_unacceptable,reason_subscription_canceled,reason_unrecognized,pay_credit_card,pay_debit_card,pay_netbanking,pay_upi,pay_wallet
14135.62,0.16,1,0,-0.5,-0.866025,0.433884,-0.900969,0,0,0,0,0,1,0,0,0,0,0,1,0
10956.58,0.66,0,1,-0.5,0.866025,-0.974928,-0.222521,0,0,0,0,1,0,0,0,1,0,0,0,0
4879.42,0.46,1,0,0.5,-0.866025,0.433884,-0.900969,0,0,0,0,0,0,1,0,0,0,0,1,0
3354.68,1.0,1,0,-0.5,-0.866025,0.0,1.0,0,0,1,0,0,0,0,0,1,0,0,0,0
2534.65,0.89,1,0,0.866025,-0.5,0.0,1.0,0,0,0,0,0,1,0,0,0,0,0,0,1
15562.9,0.6,1,1,-0.5,0.866025,-0.433884,-0.900969,0,0,1,0,0,0,0,0,0,1,0,0,0
9586.72,0.64,1,0,-0.5,-0.866025,-0.433884,-0.900969,0,0,0,0,0,1,0,0,0,0,0,1,0
12474.35,0.92,0,0,0.866025,-0.5,0.0,1.0,0,0,0,1,0,0,0,0,0,0,0,1,0
6739.17,0.22,1,0,-0.866025,-0.5,0.781831,0.62349,0,0,1,0,0,0,0,0,0,0,0,1,0
2406.0,0.2,0,0,-0.866025,-0.5,-0.974928,-0.222521,0,0,0,0,0,0,0,1,1,0,0,0,0
13504.93,0.23,0,0,-0.866025,-0.5,-0.974928,-0.222521,0,0,0,0,0,0,1,0,1,0,0,0,0
13285.19,0.32,0,0,-0.866025,-0.5,0.433884,-0.900969,0,0,0,0,0,0,1,0,0,0,0,1,0
2820.38,0.31,0,0,0.5,0.866025,-0.433884,-0.900969,0,0,0,0,0,1,0,0,0,0,0,0,1
10114.63,0.93,1,0,0.5,0.866025,0.781831,0.62349,0,0,1,0,0,0,0,0,0,0,0,1,0
7166.21,0.73,1,0,0.866025,-0.5,0.781831,0.62349,1,0,0,0,0,0,0,0,0,0,0,1,0
9968.49,0.84,1,0,0.5,-0.866025,-0.974928,-0.222521,0,0,0,1,0,0,0,0,0,0,0,1,0
7739.2,0.16,1,0,0.866025,0.5,0.781831,0.62349,0,0,0,0,0,0,1,0,0,0,0,1,0
14445.51,0.2,1,0,-1.0,-0.0,-0.974928,-0.222521,0,0,0,0,0,0,1,0,0,0,0,0,1
9171.89,0.49,1,0,0.866025,-0.5,0.0,1.0,0,0,1,0,0,0,0,0,0,0,0,1,0
225.03,0.62,0,0,-0.0,1.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0,1,0
6563.38,0.16,1,1,-0.5,0.866025,0.0,1.0,0,1,0,0,0,0,0,0,0,0,0,1,0
3039.23,0.39,0,0,1.0,0.0,0.433884,-0.900969,1,0,0,0,0,0,0,0,0,1,0,0,0
8309.47,0.91,1,0,-1.0,-0.0,-0.974928,-0.222521,0,0,0,0,0,0,0,1,0,1,0,0,0
7081.83,0.49,0,0,-0.866025,-0.5,0.974928,-0.222521,1,0,0,0,0,0,0,0,0,0,0,1,0
9950.99,0.81,1,0,0.5,0.866025,0.0,1.0,0,1,0,0,0,0,0,0,1,0,0,0,0
12137.13,0.96,1,0,0.866025,-0.5,-0.433884,-0.900969,0,0,0,0,0,0,1,0,0,0,0,1,0
6940.16,0.99,1,0,0.0,-1.0,-0.433884,-0.900969,0,0,1,0,0,0,0,0,0,0,0,1,0
15059.45,0.32,1,1,-0.866025,0.5,0.974928,-0.222521,0,0,0,0,0,0,0,1,1,0,0,0,0
8449.61,0.82,1,0,-0.5,-0.866025,-0.433884,-0.900969,0,0,0,0,0,0,0,1,0,0,0,1,0
4896.01,0.52,0,0,0.0,-1.0,0.433884,-0.900969,0,0,0,1,0,0,0,0,0,0,0,1,0
7225.18,0.59,0,0,0.5,0.866025,0.0,1.0,0,0,0,0,0,0,0,1,0,0,1,0,0
3740.84,0.35,1,0,0.866025,-0.5,0.433884,-0.900969,0,1,0,0,0,0,0,0,0,0,1,0,0
1392.55,0.31,0,0,0.5,0.866025,0.781831,0.62349,0,0,0,0,1,0,0,0,0,1,0,0,0
5097.04,0.24,0,0,0.0,-1.0,0.974928,-0.222521,0,1,0,0,0,0,0,0,0,0,0,1,0
14201.72,0.85,0,0,-0.0,1.0,0.974928,-0.222521,0,0,0,0,0,0,0,1,0,0,0,1,0
13396.29,0.95,1,0,-0.866025,-0.5,-0.781831,0.62349,0,0,0,0,0,0,0,1,1,0,0,0,0
10099.33,0.35,1,0,0.5,0.866025,-0.974928,-0.222521,0,1,0,0,0,0,0,0,1,0,0,0,0
13622.55,0.93,1,0,0.5,0.866025,-0.974928,-0.222521,0,0,0,0,0,1,0,0,0,0,1,0,0
4853.1,0.49,1,1,-0.866025,0.5,0.0,1.0,0,0,1,0,0,0,0,0,0,0,0,1,0
6439.16,0.89,0,0,0.5,0.866025,0.781831,0.62349,0,0,0,0,0,0,1,0,0,0,0,1,0
9822.13,0.59,1,0,-0.5,-0.866025,0.433884,-0.900969,0,0,0,1,0,0,0,0,0,0,0,1,0
2455.26,0.95,1,0,-1.0,-0.0,-0.974928,-0.222521,0,0,1,0,0,0,0,0,0,1,0,0,0
11550.09,0.61,0,0,0.0,-1.0,0.781831,0.62349,0,0,0,1,0,0,0,0,0,1,0,0,0
13947.53,0.25,0,0,0.0,-1.0,0.781831,0.62349,0,0,0,0,1,0,0,0,0,1,0,0,0
10721.41,0.74,0,1,-0.5,0.866025,0.974928,-0.222521,0,0,0,0,0,0,0,1,0,0,0,1,0
9990.52,0.61,0,0,1.0,0.0,0.974928,-0.222521,0,0,0,0,1,0,0,0,0,1,0,0,0
5560.38,0.48,1,0,-0.5,-0.866025,0.974928,-0.222521,0,0,0,0,0,0,1,0,0,0,0,1,0
12161.35,0.76,1,0,0.5,0.866025,-0.974928,-0.222521,0,0,0,0,0,1,0,0,1,0,0,0,0
14069.15,0.76,0,1,-0.5,0.866025,0.0,1.0,0,0,0,1,0,0,0,0,1,0,0,0,0
7515.74,0.61,1,0,0.5,0.866025,0.433884,-0.900969,0,1,0,0,0,0,0,0,0,1,0,0,0
9023.09,0.42,1,0,1.0,0.0,-0.433884,-0.900969,0,0,0,0,0,1,0,0,1,0,0,0,0
8416.61,0.27,0,0,0.866025,-0.5,0.781831,0.62349,0,0,1,0,0,0,0,0,1,0,0,0,0
3479.63,0.54,1,0,0.866025,-0.5,-0.974928,-0.222521,0,0,0,1,0,0,0,0,0,1,0,0,0
6497.46,0.62,1,0,-1.0,-0.0,-0.974928,-0.222521,0,1,0,0,0,0,0,0,0,0,0,1,0
3464.68,0.34,1,1,-0.5,0.866025,0.781831,0.62349,0,0,0,0,1,0,0,0,0,1,0,0,0
14646.36,0.76,0,1,-0.5,0.866025,0.781831,0.62349,0,0,0,0,0,1,0,0,0,0,0,1,0
2073.43,0.42,0,0,-0.5,-0.866025,0.0,1.0,0,1,0,0,0,0,0,0,0,0,0,1,0
7465.0,0.73,0,0,-0.866025,-0.5,0.0,1.0,0,0,1,0,0,0,0,0,1,0,0,0,0
14127.74,0.5,1,0,-0.866025,-0.5,0.433884,-0.900969,1,0,0,0,0,0,0,0,1,0,0,0,0
993.41,0.46,0,0,-0.0,1.0,0.433884,-0.900969,0,0,0,0,1,0,0,0,0,0,1,0,0
9022.68,0.32,0,0,0.0,-1.0,0.433884,-0.900969,1,0,0,0,0,0,0,0,0,0,0,1,0
17698.4,0.51,0,1,-0.866025,0.5,0.781831,0.62349,0,0,0,0,1,0,0,0,1,0,0,0,0
4628.7,0.19,0,1,-0.866025,0.5,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,1
7154.7,0.24,0,0,0.866025,-0.5,-0.781831,0.62349,0,0,0,0,0,1,0,0,1,0,0,0,0
3654.67,0.35,1,0,-0.866025,-0.5,0.0,1.0,0,1,0,0,0,0,0,0,0,0,0,1,0
12434.14,0.59,0,0,0.866025,-0.5,0.0,1.0,0,1,0,0,0,0,0,0,1,0,0,0,0
4471.44,0.38,0,0,-0.5,-0.866025,0.781831,0.62349,0,0,1,0,0,0,0,0,0,0,0,1,0
7508.17,0.73,1,0,0.0,-1.0,0.974928,-0.222521,0,0,0,1,0,0,0,0,0,1,0,0,0
3588.08,0.76,1,0,-0.5,-0.866025,0.433884,-0.900969,0,0,1,0,0,0,0,0,0,0,1,0,0
11392.78,0.71,1,0,-1.0,-0.0,0.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,1
7477.54,0.26,0,0,-0.0,1.0,0.0,1.0,0,0,0,1,0,0,0,0,0,0,1,0,0
5081.09,0.4,0,0,-0.5,-0.866025,-0.974928,-0.222521,0,0,0,1,0,0,0,0,0,0,0,1,0
6931.42,0.95,1,0,-1.0,-0.0,-0.433884,-0.900969,0,0,0,1,0,0,0,0,0,0,0,1,0
14824.16,0.97,1,0,1.0,0.0,0.974928,-0.222521,1,0,0,0,0,0,0,0,0,0,0,1,0
9456.05,0.27,0,0,-1.0,-0.0,0.974928,-0.222521,0,0,0,1,0,0,0,0,0,0,0,1,0
7373.73,0.22,0,0,-0.5,-0.866025,-0.433884,-0.900969,0,1,0,0,0,0,0,0,0,0,0,1,0
3525.57,0.38,0,0,-0.866025,-0.5,0.974928,-0.222521,0,1,0,0,0,0,0,0,0,1,0,0,0
4519.55,0.68,0,0,0.0,-1.0,0.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,1
2340.7,0.53,1,0,-0.866025,-0.5,-0.974928,-0.222521,1,0,0,0,0,0,0,0,0,0,0,1,0
14026.88,0.35,1,0,0.5,-0.866025,0.433884,-0.900969,0,0,0,0,0,1,0,0,0,0,1,0,0
14983.75,0.35,0,0,-0.0,1.0,0.974928,-0.222521,1,0,0,0,0,0,0,0,0,0,1,0,0
5782.71,0.54,0,0,-0.0,1.0,-0.433884,-0.900969,0,0,0,0,0,1,0,0,1,0,0,0,0
6279.47,0.31,0,0,1.0,0.0,-0.781831,0.62349,0,1,0,0,0,0,0,0,0,0,0,0,1
12347.06,0.83,1,0,1.0,0.0,0.781831,0.62349,0,0,0,1,0,0,0,0,0,1,0,0,0
1685.4,0.21,1,0,0.0,-1.0,0.974928,-0.222521,0,0,0,1,0,0,0,0,0,0,0,0,1
9890.76,0.51,1,0,0.5,0.866025,0.781831,0.62349,0,0,0,0,1,0,0,0,1,0,0,0,0
9817.58,0.97,1,0,0.0,-1.0,0.0,1.0,0,0,0,0,1,0,0,0,1,0,0,0,0
8207.04,0.66,1,0,1.0,0.0,0.974928,-0.222521,0,0,0,0,0,0,0,1,0,0,0,0,1
7480.65,0.93,1,1,-0.866025,0.5,0.781831,0.62349,0,0,0,0,1,0,0,0,0,1,0,0,0
14235.83,0.72,1,1,-0.866025,0.5,0.0,1.0,0,0,0,0,1,0,0,0,1,0,0,0,0
2715.76,0.58,0,0,0.866025,0.5,0.0,1.0,0,0,0,0,0,0,0,1,0,0,0,1,0
7025.02,0.32,1,0,-0.5,-0.866025,-0.433884,-0.900969,0,0,0,0,0,0,0,1,1,0,0,0,0
10228.64,0.11,0,0,0.866025,-0.5,-0.974928,-0.222521,0,0,0,1,0,0,0,0,0,0,0,1,0
6479.77,0.41,0,0,0.0,-1.0,-0.781831,0.62349,0,0,0,0,1,0,0,0,1,0,0,0,0
3710.64,0.28,0,0,0.866025,-0.5,0.0,1.0,0,0,0,1,0,0,0,0,0,0,1,0,0
6678.43,0.73,0,1,-0.5,0.866025,-0.433884,-0.900969,0,0,0,0,1,0,0,0,0,0,0,1,0
11680.97,0.77,0,0,-1.0,-0.0,0.781831,0.62349,0,0,1,0,0,0,0,0,0,0,1,0,0
11558.57,0.27,0,0,0.5,-0.866025,-0.433884,-0.900969,0,0,0,0,0,0,1,0,0,0,0,1,0
6724.18,0.91,1,0,-1.0,-0.0,-0.433884,-0.900969,0,0,0,0,0,1,0,0,0,1,0,0,0
4237.32,0.92,1,1,-0.5,0.866025,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0,1,0
12136.03,0.33,1,0,0.866025,0.5,-0.433884,-0.900969,1,0,0,0,0,0,0,0,0,0,1,0,0
10209.59,0.17,1,0,1.0,0.0,-0.433884,-0.900969,0,0,0,0,1,0,0,0,1,0,0,0,0
406.0,0.82,0,0,-1.0,-0.0,0.0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,1
11691.06,0.77,1,1,-0.5,0.866025,0.781831,0.62349,0,0,0,0,1,0,0,0,0,0,0,1,0
9229.22,0.66,1,0,-1.0,-0.0,0.0,1.0,0,1,0,0,0,0,0,0,1,0,0,0,0
1926.8,0.52,0,0,-1.0,-0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,1,0,0,0
2207.83,0.54,0,0,-0.866025,-0.5,0.0,1.0,0,0,1,0,0,0,0,0,0,0,0,1,0
11185.58,0.77,1,0,0.5,0.866025,0.781831,0.62349,0,0,0,0,0,0,1,0,0,1,0,0,0
4340.15,0.85,0,0,0.0,-1.0,0.0,1.0,0,0,0,0,0,0,0,1,0,1,0,0,0
14717.73,0.5,1,0,-1.0,-0.0,-0.781831,0.62349,0,0,0,0,0,0,1,0,0,0,0,1,0
12398.03,0.35,0,0,0.866025,0.5,0.433884,-0.900969,0,0,0,0,0,0,1,0,0,0,0,1,0
3804.82,0.64,0,0,-0.5,-0.866025,-0.974928,-0.222521,0,1,0,0,0,0,0,0,0,1,0,0,0
13071.49,0.79,1,0,0.0,-1.0,0.781831,0.62349,0,1,0,0,0,0,0,0,0,0,0,1,0
14815.4,0.64,0,0,1.0,0.0,0.974928,-0.222521,0,0,0,0,0,1,0,0,0,1,0,0,0
13929.78,0.69,1,1,-0.5,0.866025,-0.781831,0.62349,0,0,0,0,1,0,0,0,0,0,0,1,0
11235.85,0.15,0,0,1.0,0.0,-0.974928,-0.222521,0,0,1,0,0,0,0,0,0,0,0,1,0
14192.15,0.56,0,0,-0.0,1.0,-0.433884,-0.900969,0,0,0,1,0,0,0,0,0,1,0,0,0
6143.94,0.97,1,0,-0.866025,-0.5,0.781831,0.62349,1,0,0,0,0,0,0,0,1,0,0,0,0
9202.8,0.92,1,0,-1.0,-0.0,0.781831,0.62349,0,0,0,0,1,0,0,0,1,0,0,0,0
14920.49,0.67,1,0,-0.5,-0.866025,-0.433884,-0.900969,0,0,0,0,0,1,0,0,0,0,0,1,0
13482.81,0.49,1,1,-0.5,0.866025,-0.433884,-0.900969,0,0,0,0,1,0,0,0,1,0,0,0,0
8046.79,0.9,0,1,-0.5,0.866025,0.0,1.0,0,1,0,0,0,0,0,0,1,0,0,0,0
7219.16,0.33,0,0,1.0,0.0,0.433884,-0.900969,0,0,0,0,0,0,0,1,0,0,0,1,0
8434.29,0.19,0,0,-0.5,-0.866025,-0.974928,-0.222521,0,0,0,0,1,0,0,0,0,0,0,1,0
8880.18,0.47,0,1,-0.866025,0.5,0.433884,-0.900969,0,0,0,0,0,0,1,0,0,1,0,0,0
9919.7,0.42,1,0,-0.5,-0.866025,-0.433884,-0.900969,1,0,0,0,0,0,0,0,1,0,0,0,0
3547.15,0.6,1,0,0.5,-0.866025,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0,1,0
4244.4,0.69,1,0,0.5,0.866025,0.0,1.0,0,0,1,0,0,0,0,0,1,0,0,0,0
1229.86,0.26,0,0,1.0,0.0,-0.974928,-0.222521,0,0,0,0,0,0,1,0,0,0,0,1,0
7473.37,0.29,1,1,-0.866025,0.5,0.0,1.0,0,0,0,0,1,0,0,0,0,1,0,0,0
8293.53,0.78,1,1,-0.5,0.866025,-0.781831,0.62349,0,0,1,0,0,0,0,0,0,0,0,1,0
13083.07,0.56,1,1,-0.866025,0.5,0.0,1.0,1,0,0,0,0,0,0,0,0,0,0,1,0
18876.67,0.99,1,1,-0.5,0.866025,-0.781831,0.62349,0,0,1,0,0,0,0,0,0,0,0,1,0
5827.07,0.11,1,0,0.866025,-0.5,-0.974928,-0.222521,1,0,0,0,0,0,0,0,0,0,0,1,0
12954.11,0.85,1,0,-0.866025,-0.5,-0.781831,0.62349,0,1,0,0,0,0,0,0,1,0,0,0,0
8686.32,0.93,1,0,-0.866025,-0.5,0.974928,-0.222521,0,0,0,0,0,0,0,1,0,0,0,1,0
14224.69,0.46,1,0,-0.866025,-0.5,0.433884,-0.900969,0,0,0,0,0,0,0,1,0,0,0,1,0
7954.65,0.86,1,0,0.5,0.866025,-0.974928,-0.222521,0,0,0,0,0,0,1,0,0,0,0,1,0
9571.73,0.3,1,0,0.866025,0.5,0.433884,-0.900969,1,0,0,0,0,0,0,0,0,1,0,0,0
2025.86,0.96,1,1,-0.5,0.866025,-0.433884,-0.900969,0,0,0,0,0,0,1,0,0,0,0,1,0
7512.93,0.69,0,0,0.5,-0.866025,-0.974928,-0.222521,0,0,0,0,0,1,0,0,0,1,0,0,0
6933.48,0.89,0,1,-0.5,0.866025,0.781831,0.62349,0,0,0,1,0,0,0,0,0,1,0,0,0
8953.01,0.52,0,0,1.0,0.0,0.974928,-0.222521,0,0,0,0,0,1,0,0,1,0,0,0,0
1335.62,0.51,0,0,0.866025,0.5,-0.433884,-0.900969,0,0,0,0,1,0,0,0,0,0,0,1,0
6856.06,0.6,0,0,-0.5,-0.866025,-0.974928,-0.222521,0,0,0,0,0,0,0,1,1,0,0,0,0
16487.92,0.55,1,1,-0.5,0.866025,-0.433884,-0.900969,0,0,0,0,0,0,1,0,1,0,0,0,0
6703.44,0.26,0,0,-0.866025,-0.5,0.781831,0.62349,0,0,0,0,1,0,0,0,1,0,0,0,0
10247.69,0.93,0,0,-0.0,1.0,0.781831,0.62349,0,0,0,0,0,1,0,0,0,0,0,1,0
10911.26,0.19,1,0,-0.5,-0.866025,-0.433884,-0.900969,0,0,0,0,0,0,1,0,0,0,0,1,0
14521.91,0.62,1,0,-1.0,-0.0,0.974928,-0.222521,0,0,0,0,0,1,0,0,0,0,0,1,0
9723.7,0.74,0,0,-1.0,-0.0,0.974928,-0.222521,0,0,0,0,0,0,0,1,0,0,0,1,0
7990.62,0.85,1,0,1.0,0.0,0.974928,-0.222521,0,0,0,0,0,1,0,0,0,1,0,0,0
5257.64,0.12,0,0,-1.0,-0.0,0.781831,0.62349,0,0,0,0,0,0,0,1,1,0,0,0,0
1696.88,0.22,0,0,-0.0,1.0,-0.781831,0.62349,0,1,0,0,0,0,0,0,0,0,0,1,0
2865.94,0.89,1,1,-0.5,0.866025,-0.781831,0.62349,0,0,1,0,0,0,0,0,0,1,0,0,0
14549.91,0.14,0,0,-1.0,-0.0,-0.974928,-0.222521,0,0,0,0,0,1,0,0,0,1,0,0,0
15096.44,0.5,1,1,-0.866025,0.5,-0.974928,-0.222521,0,0,0,0,1,0,0,0,0,1,0,0,0
11716.24,0.61,0,0,0.5,-0.866025,0.781831,0.62349,0,0,0,0,0,0,1,0,0,1,0,0,0
3900.05,0.84,1,0,-0.0,1.0,-0.433884,-0.900969,0,0,0,0,0,0,0,1,0,0,0,0,1
5872.47,0.19,0,1,-0.866025,0.5,0.433884,-0.900969,0,0,0,0,0,0,1,0,1,0,0,0,0
3486.16,0.23,0,0,0.866025,-0.5,0.433884,-0.900969,0,0,0,1,0,0,0,0,0,0,1,0,0
5915.26,0.47,1,0,0.5,0.866025,0.433884,-0.900969,0,0,0,0,0,0,1,0,0,0,0,0,1
5162.3,0.39,0,0,-0.5,-0.866025,0.433884,-0.900969,0,0,0,0,0,0,1,0,0,0,0,1,0
11430.85,0.93,0,0,0.0,-1.0,-0.974928,-0.222521,0,0,0,0,0,1,0,0,0,0,0,1,0
2412.89,0.92,1,0,-0.0,1.0,0.0,1.0,0,0,0,1,0,0,0,0,1,0,0,0,0
12426.39,0.31,1,1,-0.866025,0.5,-0.781831,0.62349,0,0,0,0,1,0,0,0,0,1,0,0,0
8710.7,0.55,0,0,-0.5,-0.866025,-0.974928,-0.222521,0,0,0,0,1,0,0,0,0,0,1,0,0
10032.7,0.65,1,0,0.0,-1.0,-0.781831,0.62349,1,0,0,0,0,0,0,0,1,0,0,0,0
8401.45,0.57,0,0,-0.5,-0.866025,0.781831,0.62349,0,0,0,0,0,0,1,0,0,0,0,1,0
5484.99,0.45,0,0,0.866025,0.5,-0.781831,0.62349,0,0,0,1,0,0,0,0,0,0,0,1,0
11398.85,0.69,0,0,-0.5,-0.866025,0.433884,-0.900969,0,0,0,0,0,0,1,0,0,0,0,1,0
10333.3,0.4,0,0,0.0,-1.0,-0.433884,-0.900969,0,0,1,0,0,0,0,0,0,0,0,1,0
6973.66,0.83,0,0,-1.0,-0.0,0.433884,-0.900969,0,0,0,1,0,0,0,0,0,1,0,0,0
7827.68,0.28,0,0,1.0,0.0,-0.781831,0.62349,0,1,0,0,0,0,0,0,0,0,0,1,0
15611.07,0.27,0,1,-0.5,0.866025,-0.433884,-0.900969,0,0,1,0,0,0,0,0,0,1,0,0,0
5217.74,0.46,0,0,0.0,-1.0,0.974928,-0.222521,0,0,0,0,0,0,1,0,1,0,0,0,0
1422.65,0.43,1,0,0.5,-0.866025,-0.974928,-0.222521,0,0,0,1,0,0,0,0,0,1,0,0,0
1718.45,1.0,1,0,0.5,0.866025,0.974928,-0.222521,0,0,0,0,1,0,0,0,1,0,0,0,0
5402.9,0.64,0,0,1.0,0.0,0.433884,-0.900969,1,0,0,0,0,0,0,0,0,0,0,1,0
1048.9,0.49,0,0,-0.866025,-0.5,0.974928,-0.222521,0,0,0,0,0,0,1,0,1,0,0,0,0
2313.14,0.82,0,0,-1.0,-0.0,0.974928,-0.222521,0,0,0,0,0,0,0,1,0,0,0,1,0
7451.15,0.16,1,1,-0.866025,0.5,-0.781831,0.62349,0,0,0,1,0,0,0,0,0,0,0,1,0
2708.04,0.43,1,1,-0.866025,0.5,0.781831,0.62349,0,0,0,0,1,0,0,0,1,0,0,0,0
5927.41,0.2,0,0,1.0,0.0,0.433884,-0.900969,1,0,0,0,0,0,0,0,0,0,0,1,0
14654.97,0.73,0,1,-0.5,0.866025,0.974928,-0.222521,0,0,0,0,1,0,0,0,0,1,0,0,0
14959.48,0.17,0,0,0.5,-0.866025,-0.974928,-0.222521,0,0,0,0,1,0,0,0,0,0,0,1,0
4639.36,0.74,1,0,-1.0,-0.0,0.433884,-0.900969,0,0,0,0,0,0,1,0,0,1,0,0,0
2255.38,0.56,1,0,0.0,-1.0,-0.781831,0.62349,0,0,0,0,0,1,0,0,0,1,0,0,0
2120.61,0.62,0,0,-0.0,1.0,0.974928,-0.222521,0,0,1,0,0,0,0,0,0,0,0,1,0
11583.64,1.0,1,0,-0.5,-0.866025,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0,1,0
7224.35,0.68,0,1,-0.5,0.866025,0.974928,-0.222521,0,0,0,0,1,0,0,0,0,0,0,0,1
15698.63,0.22,0,1,-0.5,0.866025,0.0,1.0,0,0,0,0,0,1,0,0,0,1,0,0,0
7879.69,0.94,0,0,1.0,0.0,0.781831,0.62349,0,0,0,0,0,1,0,0,0,0,0,1,0
4681.8,0.67,1,0,0.866025,-0.5,-0.433884,-0.900969,0,0,0,0,1,0,0,0,0,0,0,1,0
12941.61,0.63,1,1,-0.5,0.866025,0.974928,-0.222521,0,0,0,0,1,0,0,0,0,1,0,0,0
8736.21,0.13,0,0,1.0,0.0,-0.974928,-0.222521,0,0,1,0,0,0,0,0,0,0,1,0,0
9482.03,0.47,1,0,-1.0,-0.0,-0.974928,-0.222521,0,1,0,0,0,0,0,0,0,1,0,0,0
